,nameWithOwner,createdAt,releasesByRepoAge,averageTimeForMergePR
ShivBhosale/React-Jupyter-Viewer,2019-10-23T14:06:21Z,0.0,70
ugglr/react-native-storybook-boilerplate,2020-07-22T09:14:09Z,0.0,0
SUI-Components/adevinta-spain-components,2018-09-13T08:47:31Z,0.0,1
collegepulse/material-react-components,2017-05-22T02:33:25Z,3.85,4
Assenti/react-ui-components,2020-01-06T09:29:38Z,0.0,13
merisbahti/klyva,2020-09-11T06:43:10Z,0.0,3
airtoxin/react-hex,2016-04-11T22:38:33Z,0.0,0
Bandwidth/shared-components,2017-05-02T18:18:47Z,14.9,4
u-wave/react-list-lazy-load,2016-03-02T12:22:01Z,0.0,4
robinweser/kilvin,2016-10-13T18:52:23Z,0.0,29
microsoft/sarif-web-component,2018-12-06T19:01:07Z,0.0,0
tillersystems/Stardust,2018-07-27T08:17:00Z,12.87,1
novatorem/Cover-Hack,2020-04-12T22:08:23Z,0.0,0
JimLiu/bbcode-to-react,2016-10-28T02:16:51Z,0.0,0
planttheidea/react-parm,2018-04-06T08:05:36Z,0.0,2
oztune/string-replace-to-array,2016-04-28T18:42:47Z,0.0,0
react-ui-kit/base,2016-11-28T20:19:22Z,0.0,0
Yoast/yoast-components,2016-08-03T13:10:33Z,14.89,5
intuit/QuickFabric,2020-03-05T19:17:29Z,0.0,0
appbaseio/reactivebase,2016-12-09T02:52:57Z,21.84,1
kenshoo/react-tree,2020-02-21T14:29:17Z,18.26,8
pansyjs/react-components,2020-09-28T03:05:39Z,3.64,4
gakimball/react-inky,2016-09-24T23:11:27Z,0.0,4
JoshK2/tic-tac-toe-game-using-bit,2019-05-12T10:12:41Z,0.0,39
gokulkrishh/create-react-component,2017-02-06T08:43:41Z,0.0,0
urbica/ui-kit,2017-12-04T11:27:51Z,0.0,3
technology-ebay-de/modular-toolkit,2018-03-09T11:45:52Z,0.0,2
pikhovkin/dash-flexbox-grid,2018-05-28T17:54:43Z,1.38,1
yuanzhaohao/dashkit-ui,2018-07-19T08:00:01Z,0.0,0
crisboarna/react-skillbars,2017-11-30T23:15:59Z,2.96,14
klendi/react-movies,2018-08-03T21:11:05Z,0.0,0
sullenor/teatime-components,2016-04-10T10:05:45Z,13.55,1
vrk-kpa/suomifi-ui-components,2018-11-06T15:14:34Z,22.13,3
untangled-web/untangled-ui,2016-09-09T00:12:48Z,0.0,3
codergogoi/React_Native_Food_Order_App,2019-12-10T09:30:49Z,0.0,0
silexlabs/Prodotype,2016-08-06T15:27:24Z,0.0,0
ojdx/react-font-face,2017-06-11T02:44:39Z,0.0,28
puppetlabs/design-system,2019-03-15T22:21:02Z,0.0,5
aaronhayes/react-use-hubspot-form,2019-11-23T02:37:21Z,0.0,33
JoshK2/basic-todo-app-using-bit,2019-02-19T17:24:54Z,0.0,25
davidnguyen179/react-is-in-viewport,2019-12-13T06:30:04Z,2.24,0
ugglr/react-native-value-picker,2020-05-07T03:19:34Z,2.13,2
rajasegar/react-awesome-datepicker-demo,2018-10-09T11:08:00Z,0.0,11
clarisights/KnitUI,2019-03-05T10:31:37Z,8.96,4
emgage/engage-ui,2017-05-02T21:21:05Z,0.0,4
